Player_Name,Group,WS_25
Dwight Howard,veteran,14.4
Pau Gasol,veteran,12.0
Dirk Nowitzki,veteran,11.5
Dwayne Wade,veteran,8.8
Carmelo Anthony,veteran,7.9
Anthony Davis,young,11.0
Kawahi Leonard,young,13.6
Nikola Jokic,young,9.7
Jimmy Buttler,young,11.2
Rudy Gobert,young,14.3
DeAndre Jordan,young,11.1
Draymond Green,young,11.1
